,year,count
0,2008,54
1,2018,52
2,1991,52
3,1977,51
4,2002,47
5,1987,46
6,2011,46
7,2017,45
8,1998,45
9,2004,45
10,2005,44
11,1984,44
12,1971,43
13,2014,43
14,2009,43
15,1986,42
16,2015,42
17,2012,41
18,2013,41
19,2006,40
20,1979,40
21,1970,40
22,1995,39
23,1969,38
24,1980,37
25,1967,37
26,1975,36
27,2007,36
28,1997,35
29,1992,35
30,2016,35
31,1985,34
32,1989,34
33,2000,33
34,2010,33
35,1982,32
36,1978,31
37,1976,31
38,1988,30
39,1983,30
40,2001,30
41,1999,29
42,1973,29
43,1972,29
44,1993,28
45,2003,28
46,1968,27
47,1994,25
48,1996,24
49,1974,23
50,2019,21
51,1966,20
52,1990,19
53,1981,15
54,1965,15
55,1964,9
56,1963,7
57,1958,5
58,1962,3
59,1959,3
60,1961,1
61,1960,1
62,1956,1
